CustomerID,Lookalikes
C0001,"[('C0107', 0.9999653443811154), ('C0137', 0.9999440614733591), ('C0184', 0.9999433593493158)]"
C0002,"[('C0043', 0.9996660509784008), ('C0136', 0.999606599690943), ('C0142', 0.9992690129160807)]"
C0003,"[('C0157', 0.9999852171328136), ('C0029', 0.9999823521572053), ('C0147', 0.9999761841127265)]"
C0004,"[('C0132', 0.9999482716616489), ('C0113', 0.999822595944755), ('C0062', 0.999793212170696)]"
C0005,"[('C0092', 0.9999995165903443), ('C0022', 0.9999979892683724), ('C0178', 0.9999895196549173)]"
C0006,"[('C0048', 0.9999327936682215), ('C0050', 0.9999325973958533), ('C0063', 0.9999120791313006)]"
C0007,"[('C0146', 0.9999983663879034), ('C0054', 0.9998824701581751), ('C0138', 0.9998709340797092)]"
C0008,"[('C0165', 0.9999421036054599), ('C0019', 0.9998960087608367), ('C0172', 0.9998897650119252)]"
C0009,"[('C0085', 0.9999973641385139), ('C0198', 0.999994527097689), ('C0192', 0.9998425607540761)]"
C0010,"[('C0019', 0.9986975781264344), ('C0008', 0.9981768660486767), ('C0165', 0.9979205258992605)]"
C0011,"[('C0063', 0.9999727499267886), ('C0107', 0.9999397293360196), ('C0048', 0.9999371463862214)]"
C0012,"[('C0139', 0.9999637287866558), ('C0148', 0.9999220139621995), ('C0026', 0.9998794927446029)]"
C0013,"[('C0117', 0.9999868649360344), ('C0183', 0.9999561930030818), ('C0079', 0.9999347998250121)]"
C0014,"[('C0083', 0.9999891049183789), ('C0032', 0.99993543817127), ('C0020', 0.9998500059611894)]"
C0015,"[('C0095', 0.9999027175324559), ('C0071', 0.9998281043751978), ('C0020', 0.9998097317519563)]"
C0016,"[('C0154', 0.9998462784900508), ('C0096', 0.9998420961257009), ('C0171', 0.9998049543041161)]"
C0017,"[('C0124', 0.998689334349888), ('C0053', 0.996354821465125), ('C0041', 0.9957997585273187)]"
C0018,"[('C0122', 0.9998008947162323), ('C0172', 0.9996738732838298), ('C0073', 0.9993382162317016)]"
C0019,"[('C0165', 0.9999070001973346), ('C0008', 0.9998960087608367), ('C0166', 0.9998199788746941)]"
C0020,"[('C0095', 0.9999407445381461), ('C0014', 0.9998500059611894), ('C0015', 0.9998097317519563)]"
